No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
380,"ユニフォーム","1",483,479,"大将優ICO","102.0234693","101.3489795","103.3724488","102.3125363","101.226345"
381,"新年","2",491,485,"新年大将優ICO","104.0469385","103.1476188","104.4965983","103.8542271","103.679035"
382,"カンフー","2",494,483,"カンフー大将優ICO","104.0469385","105.395918","102.2482992","105.395918","101.226345"
383,"妖","2",487,491,"妖大将優ICO","106.0704078","100.8993197","102.2482992","106.1667634","105.5185525"
384,"ユニフォーム","1",479,477,"沼井和馬ICO","100.6744898","97.75170083","101.1241496","100.7708454","101.226345"
385,"ユニフォーム","1",476,469,"潜尚保ICO","99.32551025","98.20136067","98.87585042","96.14577286","100"
386,"バーガー","2",484,475,"バーガー潜尚保ICO","101.3489795","100","100","97.68746371","102.45269"
387,"寝正月","2",488,482,"寝正月潜尚保ICO","103.3724488","100","101.1241496","100","104.90538"
388,"ユニフォーム","1",476,465,"高千穂恵也ICO","100.6744898","100.8993197","98.87585042","95.37492743","98.1604825"
389,"ユニフォーム","1",466,468,"広尾倖児ICO","94.604082","97.75170083","96.62755125","95.37492743","100"
390,"カンフー","2",472,476,"カンフー広尾倖児ICO","96.62755125","98.6510205","97.75170083","96.91661829","103.679035"
391,"ユニフォーム","1",471,462,"先島伊澄ICO","93.92959225","96.85238117","105.6207479","95.37492743","96.320965"
392,"ユニフォーム","1",458,467,"背黒晃彦ICO","95.27857175","93.70476233","96.62755125","94.604082","100"
393,"ユニフォーム","1",456,470,"赤間颯ICO","94.604082","95.9530615","98.87585042","103.0833817","95.09462"
