No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
136,"ユニフォーム","1",510,459,"及川徹ICO","104.90538","106.7448975","115.7380942","95.50340167","95.09462"
137,"プール掃除","2",520,463,"プール掃除及川徹ICO","105.5185525","109.4428565","119.1105429","97.00226778","96.320965"
138,"Xmas","2",519,465,"Xmas及川徹ICO","106.7448975","106.7448975","122.4829917","94.00453556","100"
139,"制服","2",516,467,"制服及川徹ICO","107.35807","106.7448975","117.9863933","97.00226778","98.773655"
140,"路地裏","2",528,465,"路地裏及川徹ICO","106.131725","111.6911557","121.3588421","98.50113389","96.320965"
141,"バカンス","2",524,470,"バカンス及川徹ICO","106.131725","109.4428565","122.4829917","99.25056694","98.773655"
142,"2周年","2",525,470,"2周年及川徹ICO","107.35807","109.8925163","120.2346925","100.7494331","97.54731"
143,"夏祭り2","2",534,469,"夏祭り2及川徹ICO","106.7448975","113.0401352","123.6071413","100","97.54731"
144,"ユニフォーム","1",482,464,"岩泉一ICO","103.679035","101.7986393","98.87585042","96.25283472","97.54731"
145,"プール掃除","2",490,470,"プール掃除岩泉一ICO","105.5185525","103.5972787","100","97.75170083","100"
146,"制服","2",492,468,"制服岩泉一ICO","104.90538","105.395918","98.87585042","99.25056694","97.54731"
147,"サバゲ","2",485,476,"サバゲ岩泉一ICO","104.90538","102.2482992","98.87585042","100","101.8395175"
148,"バカンス","2",486,474,"バカンス岩泉一ICO","106.7448975","101.7986393","97.75170083","98.50113389","101.8395175"
149,"路地裏2","2",494,476,"路地裏2岩泉一ICO","107.35807","103.5972787","101.1241496","99.25056694","102.45269"
150,"夏祭り2","2",491,480,"夏祭り2岩泉一ICO","106.131725","103.5972787","100","100.7494331","103.679035"
151,"ユニフォーム","1",459,465,"金田一勇太郎ICO","96.9341375","93.70476233","96.62755125","95.50340167","98.773655"
152,"雪遊び","2",465,473,"雪遊び金田一勇太郎ICO","98.773655","94.604082","97.75170083","97.00226778","102.45269"
153,"カンフー","2",468,472,"カンフー金田一勇太郎ICO","98.1604825","96.85238117","96.62755125","99.25056694","100"
154,"中学生","2",463,478,"中学生金田一勇太郎ICO","100","92.80544267","97.75170083","96.25283472","106.131725"
155,"ユニフォーム","1",484,461,"京谷賢太郎ICO","103.0658625","100.4496598","96.62755125","96.25283472","95.7077925"
156,"梅雨","2",492,467,"梅雨京谷賢太郎ICO","104.90538","102.2482992","97.75170083","97.75170083","98.1604825"
157,"水着2","2",488,473,"水着2京谷賢太郎ICO","106.7448975","100","95.50340167","99.25056694","100.6131725"
158,"ユニフォーム","1",467,462,"国見英ICO","97.54731","95.9530615","98.87585042","97.00226778","95.7077925"
159,"職業体験","2",475,468,"職業体験国見英ICO","99.3868275","97.75170083","100","98.50113389","98.1604825"
160,"路地裏","2",470,475,"路地裏国見英ICO","98.773655","96.40272133","98.87585042","100.7494331","100.6131725"
161,"カンフー","2",477,468,"カンフー国見英ICO","101.8395175","95.9530615","102.2482992","97.00226778","99.3868275"
162,"中学生","2",471,485,"中学生国見英ICO","98.773655","96.40272133","100","104.4965983","103.679035"
163,"ユニフォーム","1",463,475,"渡親治ICO","96.320965","96.40272133","104.4965983","107.4943306","95.09462"
164,"ユニフォーム","1",458,465,"松川一静ICO","95.7077925","94.15442217","96.62755125","95.50340167","98.773655"
165,"アート","2",464,473,"アート松川一静ICO","97.54731","95.05374183","97.75170083","97.00226778","102.45269"
166,"バカンス","2",465,474,"バカンス松川一静ICO","96.9341375","96.85238117","95.50340167","95.50340167","104.2922075"
167,"焼き芋","2",468,479,"焼き芋松川一静ICO","98.773655","95.05374183","100","97.75170083","105.5185525"
168,"ユニフォーム","1",469,467,"花巻貴大ICO","96.9341375","96.40272133","101.1241496","98.50113389","97.54731"
169,"アート","2",477,473,"アート花巻貴大ICO","98.773655","98.20136067","102.2482992","100","100"
170,"バーガー","2",478,473,"バーガー花巻貴大ICO","100.6131725","96.40272133","104.4965983","98.50113389","101.226345"
171,"妖","2",480,472,"妖花巻貴大ICO","98.1604825","100.4496598","101.1241496","102.2482992","97.54731"
172,"焼き芋","2",482,479,"焼き芋花巻貴大ICO","101.226345","98.20136067","103.3724488","101.4988661","102.45269"
173,"ユニフォーム","1",484,464,"矢巾秀ICO","99.3868275","101.7986393","108.9931967","98.50113389","95.7077925"
174,"キャンプ","2",494,468,"キャンプ矢巾秀ICO","100","104.4965983","112.3656454","100","96.9341375"
